"No.","Time","Source","Destination","Protocol","Length","Info"
"1889","2011-01-26 00:22:53.065135","192.168.3.131","224.0.0.252","LLMNR","64","Standard query 0x76f2 A wpad"
"1898","2011-01-26 00:22:53.165267","192.168.3.131","224.0.0.252","LLMNR","64","Standard query 0x76f2 A wpad"
"3093","2011-01-26 00:23:17.862788","192.168.1.242","8.8.8.8","DNS","73","Standard query 0xa6c6 A gustissimo.it"
"3983","2011-01-26 00:24:00.336851","172.16.255.1","224.0.0.252","LLMNR","64","Standard query 0x0c35 A wpad"
"3994","2011-01-26 00:24:00.437253","172.16.255.1","224.0.0.252","LLMNR","64","Standard query 0x0c35 A wpad"
"4729","2011-01-26 00:24:15.558942","192.168.1.243","8.8.8.8","DNS","72","Standard query 0xdd84 A auto-klad.ru"
"4730","2011-01-26 00:24:15.564183","192.168.1.244","8.8.8.8","DNS","77","Standard query 0x95bb A iointegrators.com"
"4732","2011-01-26 00:24:15.573906","192.168.1.245","8.8.8.8","DNS","82","Standard query 0xf8f1 A daytimeghosthunter.com"
"4733","2011-01-26 00:24:15.583045","192.168.1.246","8.8.8.8","DNS","72","Standard query 0xf1bb A sapendolo.it"
"4734","2011-01-26 00:24:15.591685","192.168.1.247","8.8.8.8","DNS","76","Standard query 0x2b5c A saharaimport.com"
"4737","2011-01-26 00:24:15.596076","192.168.1.248","8.8.8.8","DNS","73","Standard query 0x54b4 A ngoanhien.com"
"4738","2011-01-26 00:24:15.600773","192.168.1.249","8.8.8.8","DNS","72","Standard query 0xb4fd A itgeorgia.co"
"4739","2011-01-26 00:24:15.605557","192.168.1.250","8.8.8.8","DNS","78","Standard query 0x3cad A myfantasticpark.es"
"4745","2011-01-26 00:24:15.610190","192.168.1.251","8.8.8.8","DNS","76","Standard query 0xde47 A vinayaprabha.com"
"4751","2011-01-26 00:24:15.615618","192.168.1.252","8.8.8.8","DNS","70","Standard query 0x68bd A sitiweb.us"
"4752","2011-01-26 00:24:15.621923","192.168.1.253","8.8.8.8","DNS","82","Standard query 0x8c0f A contentremarketing.com"
"4767","2011-01-26 00:24:15.629159","192.168.1.254","8.8.8.8","DNS","71","Standard query 0x9c30 A videofun.me"
"4781","2011-01-26 00:24:15.637848","192.168.1.1","8.8.8.8","DNS","73","Standard query 0xc089 A breezelaw.com"
"4787","2011-01-26 00:24:15.645997","192.168.1.2","8.8.8.8","DNS","71","Standard query 0x171b A ranocchi.it"
"4788","2011-01-26 00:24:15.654470","192.168.1.3","8.8.8.8","DNS","73","Standard query 0x7c49 A 22hotmail.com"
"4789","2011-01-26 00:24:15.658385","192.168.1.4","8.8.8.8","DNS","72","Standard query 0xf0ab A ana-sofia.pt"
"4790","2011-01-26 00:24:15.665577","192.168.1.5","8.8.8.8","DNS","70","Standard query 0xf91f A abhair.com"
"14313","2013-02-27 03:32:36.008482","192.168.1.160","8.8.8.8","DNS","76","Standard query 0xaf84 A tripladoppia.com"
"31813","2013-02-27 03:32:42.375869","192.168.1.161","8.8.8.8","DNS","82","Standard query 0x031a A gardeninginflorida.com"
"38430","2013-02-27 03:32:45.692982","192.168.1.162","8.8.8.8","DNS","82","Standard query 0x8df4 A thepropertyvault.co.uk"
"38809","2013-02-27 03:32:45.944987","192.168.1.163","8.8.8.8","DNS","72","Standard query 0x11e8 A viahttps.com"
"39632","2013-02-27 03:32:46.376689","192.168.1.164","8.8.8.8","DNS","72","Standard query 0xa1db A adverman.com"
"54679","2013-02-27 03:32:52.000065","192.168.1.165","8.8.8.8","DNS","83","Standard query 0xca31 A majorleaguelacrosse.com"
"84250","2013-02-27 03:33:01.964810","fe80::dc32:9062:d777:796c","ff02::1:3","LLMNR","84","Standard query 0xbebe A wpad"
"84251","2013-02-27 03:33:01.965100","172.16.133.40","224.0.0.252","LLMNR","64","Standard query 0xbebe A wpad"
"84663","2013-02-27 03:33:02.064669","fe80::dc32:9062:d777:796c","ff02::1:3","LLMNR","84","Standard query 0xbebe A wpad"
"84666","2013-02-27 03:33:02.064767","172.16.133.40","224.0.0.252","LLMNR","64","Standard query 0xbebe A wpad"
"94409","2013-02-27 03:33:04.716132","192.168.1.166","8.8.8.8","DNS","77","Standard query 0x60c9 A rubenquinones.com"
"94556","2013-02-27 03:33:04.748986","fe80::dc32:9062:d777:796c","ff02::1:3","LLMNR","84","Standard query 0x6342 A wpad"
"94557","2013-02-27 03:33:04.749113","172.16.133.40","224.0.0.252","LLMNR","64","Standard query 0x6342 A wpad"
"95103","2013-02-27 03:33:04.849428","fe80::dc32:9062:d777:796c","ff02::1:3","LLMNR","84","Standard query 0x6342 A wpad"
"95104","2013-02-27 03:33:04.849500","172.16.133.40","224.0.0.252","LLMNR","64","Standard query 0x6342 A wpad"
"95624","2013-02-27 03:33:04.993551","192.168.1.167","8.8.8.8","DNS","76","Standard query 0xea9f A kanoon-ansar.org"
"98568","2013-02-27 03:33:05.919500","172.16.133.163","224.0.0.252","LLMNR","70","Standard query 0x92ae A gmxwnlajnl"
"98570","2013-02-27 03:33:05.919875","172.16.133.163","224.0.0.252","LLMNR","70","Standard query 0x4ebf A djoncbjcmv"
"98578","2013-02-27 03:33:05.920657","172.16.133.163","224.0.0.252","LLMNR","70","Standard query 0x28da A mptrmkwart"
"98876","2013-02-27 03:33:06.020346","172.16.133.163","224.0.0.252","LLMNR","70","Standard query 0x4ebf A djoncbjcmv"
"98877","2013-02-27 03:33:06.020349","172.16.133.163","224.0.0.252","LLMNR","70","Standard query 0x92ae A gmxwnlajnl"
"98881","2013-02-27 03:33:06.021124","172.16.133.163","224.0.0.252","LLMNR","70","Standard query 0x28da A mptrmkwart"
"126443","2013-02-27 03:33:14.316203","192.168.1.168","8.8.8.8","DNS","72","Standard query 0x551e A arrabonet.hu"
"126828","2013-02-27 03:33:14.434193","192.168.1.169","8.8.8.8","DNS","70","Standard query 0xa17e A wordai.com"
"127946","2013-02-27 03:33:14.733328","192.168.1.170","8.8.8.8","DNS","76","Standard query 0x29dc A muhammedmusa.com"
"142917","2013-02-27 03:33:19.609173","192.168.1.171","8.8.8.8","DNS","79","Standard query 0x0996 A freepornvideosx.com"
"151499","2013-02-27 03:33:22.765149","192.168.1.172","8.8.8.8","DNS","75","Standard query 0x0840 A 120shenbing.com"
"158591","2013-02-27 03:33:25.356430","192.168.1.173","8.8.8.8","DNS","72","Standard query 0x4c4e A onetoshop.nl"
"159046","2013-02-27 03:33:25.553588","192.168.1.174","8.8.8.8","DNS","78","Standard query 0xc473 A meditekyazilim.net"
"166505","2013-02-27 03:33:28.435096","192.168.1.175","8.8.8.8","DNS","80","Standard query 0xb428 A theexoticpersian.com"
"167425","2013-02-27 03:33:28.911684","192.168.1.176","8.8.8.8","DNS","79","Standard query 0xfd54 A boh10suphanburi.com"
"182925","2013-02-27 03:33:35.248664","192.168.1.177","8.8.8.8","DNS","79","Standard query 0xfda9 A overseasmedical.com"
"199668","2013-02-27 03:33:42.281981","192.168.1.178","8.8.8.8","DNS","85","Standard query 0x4cd3 A grandcanyongrandhotel.com"
"213176","2013-02-27 03:33:48.048433","fe80::9186:dbbd:2a45:50c2","ff02::1:3","LLMNR","84","Standard query 0xd4c1 A wpad"
"213178","2013-02-27 03:33:48.048715","172.16.133.87","224.0.0.252","LLMNR","64","Standard query 0xd4c1 A wpad"
"213338","2013-02-27 03:33:48.149111","fe80::9186:dbbd:2a45:50c2","ff02::1:3","LLMNR","84","Standard query 0xd4c1 A wpad"
"213339","2013-02-27 03:33:48.149188","172.16.133.87","224.0.0.252","LLMNR","64","Standard query 0xd4c1 A wpad"
"213431","2013-02-27 03:33:48.192434","fe80::dc32:9062:d777:796c","ff02::1:3","LLMNR","86","Standard query 0x893d A isilon"
"213432","2013-02-27 03:33:48.192694","172.16.133.40","224.0.0.252","LLMNR","66","Standard query 0x893d A isilon"
"213624","2013-02-27 03:33:48.292074","fe80::dc32:9062:d777:796c","ff02::1:3","LLMNR","86","Standard query 0x893d A isilon"
"213625","2013-02-27 03:33:48.292133","172.16.133.40","224.0.0.252","LLMNR","66","Standard query 0x893d A isilon"
"255658","2013-02-27 03:34:02.306094","192.168.1.179","8.8.8.8","DNS","74","Standard query 0xd562 A boneshoppe.com"
"256356","2013-02-27 03:34:02.542081","192.168.1.180","8.8.8.8","DNS","73","Standard query 0xb2a7 A sweathelp.org"
"263210","2013-02-27 03:34:04.668051","192.168.1.181","8.8.8.8","DNS","65","Standard query 0x66b2 A c0.pl"
"264042","2013-02-27 03:34:04.925287","192.168.1.182","8.8.8.8","DNS","72","Standard query 0xafa0 A sipflash.com"
"279339","2013-02-27 03:34:10.742719","192.168.1.183","8.8.8.8","DNS","77","Standard query 0xab68 A koopsmodellbau.de"
"304438","2013-02-27 03:34:21.321935","192.168.1.184","8.8.8.8","DNS","80","Standard query 0x8deb A lespetiteschoses.com"
"311060","2013-02-27 03:34:23.368765","192.168.1.185","8.8.8.8","DNS","68","Standard query 0x7f5a A b2b2c.ca"
"318834","2013-02-27 03:34:25.612064","192.168.1.186","8.8.8.8","DNS","78","Standard query 0x1c7b A pilsnerurquell.com"
"319362","2013-02-27 03:34:25.741168","192.168.1.187","8.8.8.8","DNS","72","Standard query 0xbffc A medintime.ru"
"326712","2013-02-27 03:34:28.158520","192.168.1.188","8.8.8.8","DNS","69","Standard query 0x1ab2 A njafe.org"
"344194","2013-02-27 03:34:33.929145","192.168.1.189","8.8.8.8","DNS","77","Standard query 0x8630 A djbarryblends.com"
"351101","2013-02-27 03:34:35.901677","192.168.1.190","8.8.8.8","DNS","73","Standard query 0x6170 A deine-bahn.de"
"359952","2013-02-27 03:34:38.138270","192.168.1.191","8.8.8.8","DNS","76","Standard query 0x862a A hackthissite.org"
"368192","2013-02-27 03:34:41.278126","192.168.1.192","8.8.8.8","DNS","70","Standard query 0x2e2a A ereadz.com"
"375414","2013-02-27 03:34:43.493234","192.168.1.193","8.8.8.8","DNS","77","Standard query 0x5194 A gurukulonline.com"
"390856","2013-02-27 03:34:48.403219","192.168.1.194","8.8.8.8","DNS","80","Standard query 0xf00d A sf-notifications.com"
"402903","2013-02-27 03:34:53.432644","fe80::2481:749b:fc6c:2786","ff02::1:3","LLMNR","86","Standard query 0x7bf5 A isatap"
"402906","2013-02-27 03:34:53.432899","172.16.133.37","224.0.0.252","LLMNR","66","Standard query 0x7bf5 A isatap"
"403077","2013-02-27 03:34:53.533356","fe80::2481:749b:fc6c:2786","ff02::1:3","LLMNR","86","Standard query 0x7bf5 A isatap"
"403078","2013-02-27 03:34:53.533358","172.16.133.37","224.0.0.252","LLMNR","66","Standard query 0x7bf5 A isatap"
"407408","2013-02-27 03:34:55.317982","192.168.1.195","8.8.8.8","DNS","74","Standard query 0xfae5 A capequilog.com"
"408378","2013-02-27 03:34:55.494807","192.168.1.196","8.8.8.8","DNS","69","Standard query 0x55af A greens.my"
"415591","2013-02-27 03:34:57.830665","192.168.1.197","8.8.8.8","DNS","69","Standard query 0x269e A 2xfzy.com"
"416778","2013-02-27 03:34:58.090709","192.168.1.198","8.8.8.8","DNS","77","Standard query 0xee96 A magic-illusion.ru"
"430988","2013-02-27 03:35:01.856974","192.168.1.199","8.8.8.8","DNS","75","Standard query 0x5af1 A irflashgame.com"
"432744","2013-02-27 03:35:02.196829","192.168.1.200","8.8.8.8","DNS","73","Standard query 0x4437 A solcredito.es"
"434289","2013-02-27 03:35:02.587723","fe80::4933:ed:eba9:2b34","ff02::1:3","LLMNR","84","Standard query 0xc981 A wpad"
"434292","2013-02-27 03:35:02.587955","172.16.133.11","224.0.0.252","LLMNR","64","Standard query 0xc981 A wpad"
"434595","2013-02-27 03:35:02.687264","fe80::4933:ed:eba9:2b34","ff02::1:3","LLMNR","84","Standard query 0xc981 A wpad"
"434596","2013-02-27 03:35:02.687266","172.16.133.11","224.0.0.252","LLMNR","64","Standard query 0xc981 A wpad"
"440345","2013-02-27 03:35:03.874230","192.168.1.201","8.8.8.8","DNS","71","Standard query 0xd937 A go2jump.com"
"440435","2013-02-27 03:35:03.886307","192.168.1.202","8.8.8.8","DNS","78","Standard query 0x872e A millionfareast.com"
"440829","2013-02-27 03:35:04.002849","192.168.1.203","8.8.8.8","DNS","66","Standard query 0xea31 A msf.be"
"448066","2013-02-27 03:35:06.526569","192.168.1.204","8.8.8.8","DNS","74","Standard query 0xa2f6 A cellslider.net"
"448696","2013-02-27 03:35:06.761920","192.168.1.205","8.8.8.8","DNS","80","Standard query 0xa24e A bhhsneproperties.com"
"455835","2013-02-27 03:35:08.949257","192.168.1.206","8.8.8.8","DNS","69","Standard query 0x1b21 A skplus.kr"
"456000","2013-02-27 03:35:09.023090","192.168.1.207","8.8.8.8","DNS","71","Standard query 0xc416 A empclan.com"
"456735","2013-02-27 03:35:09.250606","192.168.1.208","8.8.8.8","DNS","80","Standard query 0x44f3 A carolgraykennedy.com"
"464012","2013-02-27 03:35:11.935154","192.168.1.209","8.8.8.8","DNS","73","Standard query 0x617d A kiyimuzik.com"
"464150","2013-02-27 03:35:11.982203","192.168.1.210","8.8.8.8","DNS","70","Standard query 0x85ec A yunpda.com"
"464515","2013-02-27 03:35:12.160710","192.168.1.211","8.8.8.8","DNS","69","Standard query 0xcfd0 A valdo.com"
"479654","2013-02-27 03:35:18.565473","192.168.1.212","8.8.8.8","DNS","80","Standard query 0xe0a0 A supportpabiomass.org"
"480591","2013-02-27 03:35:18.838845","192.168.1.213","8.8.8.8","DNS","85","Standard query 0x4b42 A roche-applied-science.com"
"487746","2013-02-27 03:35:21.232078","192.168.1.214","8.8.8.8","DNS","76","Standard query 0xeaf9 A oneworldinfo.com"
"495962","2013-02-27 03:35:24.811339","192.168.1.215","8.8.8.8","DNS","78","Standard query 0x03bb A 7apcrshrmanila.org"
"503034","2013-02-27 03:35:27.964258","192.168.1.216","8.8.8.8","DNS","76","Standard query 0x9614 A ilikecrochet.com"
"503499","2013-02-27 03:35:28.244447","192.168.1.217","8.8.8.8","DNS","75","Standard query 0x4f82 A closerdiets.com"
"519589","2013-02-27 03:35:34.205899","192.168.1.218","8.8.8.8","DNS","70","Standard query 0xf5b9 A myface.com"
"531064","2013-02-27 03:35:39.256750","fe80::2481:749b:fc6c:2786","ff02::1:3","LLMNR","84","Standard query 0x2231 A wpad"
"531066","2013-02-27 03:35:39.258179","fe80::2481:749b:fc6c:2786","ff02::1:3","LLMNR","84","Standard query 0x84b6 A wpad"
"531067","2013-02-27 03:35:39.258181","172.16.133.37","224.0.0.252","LLMNR","64","Standard query 0x84b6 A wpad"
"531068","2013-02-27 03:35:39.258182","172.16.133.37","224.0.0.252","LLMNR","64","Standard query 0x2231 A wpad"
"531323","2013-02-27 03:35:39.356276","fe80::2481:749b:fc6c:2786","ff02::1:3","LLMNR","84","Standard query 0x84b6 A wpad"
"531324","2013-02-27 03:35:39.356277","172.16.133.37","224.0.0.252","LLMNR","64","Standard query 0x84b6 A wpad"
"531359","2013-02-27 03:35:39.367774","fe80::2481:749b:fc6c:2786","ff02::1:3","LLMNR","84","Standard query 0x2231 A wpad"
"531360","2013-02-27 03:35:39.367776","172.16.133.37","224.0.0.252","LLMNR","64","Standard query 0x2231 A wpad"
"536934","2013-02-27 03:35:41.909738","192.168.1.219","8.8.8.8","DNS","67","Standard query 0x920c A megi.cz"
"560548","2013-02-27 03:35:53.021073","192.168.1.220","8.8.8.8","DNS","67","Standard query 0xb16d A pces.in"
"583336","2013-02-27 03:36:02.801858","192.168.1.221","8.8.8.8","DNS","80","Standard query 0x940a A originalmagicart.com"
"592212","2013-02-27 03:36:06.737917","192.168.1.222","8.8.8.8","DNS","70","Standard query 0xc18b A godo.co.kr"
"599877","2013-02-27 03:36:10.985619","192.168.1.223","8.8.8.8","DNS","73","Standard query 0xa431 A ugotrelis.com"
"606827","2013-02-27 03:36:14.577221","fe80::9801:c382:f46:e074","ff02::1:3","LLMNR","86","Standard query 0x20a3 A isatap"
"606884","2013-02-27 03:36:14.600503","172.16.133.72","224.0.0.252","LLMNR","66","Standard query 0x20a3 A isatap"
"607157","2013-02-27 03:36:14.697515","fe80::9801:c382:f46:e074","ff02::1:3","LLMNR","86","Standard query 0x20a3 A isatap"
"607161","2013-02-27 03:36:14.698172","172.16.133.72","224.0.0.252","LLMNR","66","Standard query 0x20a3 A isatap"
"615703","2013-02-27 03:36:19.310406","192.168.1.224","8.8.8.8","DNS","79","Standard query 0xb434 A alb-automobiles.com"
"624159","2013-02-27 03:36:22.203139","192.168.1.225","8.8.8.8","DNS","74","Standard query 0xefb4 A ok-magazine.ru"
"632638","2013-02-27 03:36:26.416440","192.168.1.226","8.8.8.8","DNS","70","Standard query 0x5678 A wiltpr.com"
"647841","2013-02-27 03:36:33.446138","192.168.1.227","8.8.8.8","DNS","74","Standard query 0x0b5a A dmg-dental.com"
"648962","2013-02-27 03:36:34.028930","192.168.1.228","8.8.8.8","DNS","77","Standard query 0x7514 A silkroadtours.com"
"649040","2013-02-27 03:36:34.062115","192.168.1.229","8.8.8.8","DNS","74","Standard query 0xd5e4 A rositehost.com"
"649860","2013-02-27 03:36:34.456974","fe80::7991:b5a4:81ea:fe57","ff02::1:3","LLMNR","84","Standard query 0x9d6e A wpad"
"649861","2013-02-27 03:36:34.457217","172.16.133.53","224.0.0.252","LLMNR","64","Standard query 0x9d6e A wpad"
"650008","2013-02-27 03:36:34.557313","fe80::7991:b5a4:81ea:fe57","ff02::1:3","LLMNR","84","Standard query 0x9d6e A wpad"
"650009","2013-02-27 03:36:34.557389","172.16.133.53","224.0.0.252","LLMNR","64","Standard query 0x9d6e A wpad"
"656332","2013-02-27 03:36:37.853922","192.168.1.230","8.8.8.8","DNS","76","Standard query 0x47e6 A livescan4all.com"
"663490","2013-02-27 03:36:42.189950","fe80::4933:ed:eba9:2b34","ff02::1:3","LLMNR","84","Standard query 0x620c A wpad"
"663491","2013-02-27 03:36:42.190192","172.16.133.11","224.0.0.252","LLMNR","64","Standard query 0x620c A wpad"
"663660","2013-02-27 03:36:42.290266","fe80::4933:ed:eba9:2b34","ff02::1:3","LLMNR","84","Standard query 0x620c A wpad"
"663661","2013-02-27 03:36:42.290268","172.16.133.11","224.0.0.252","LLMNR","64","Standard query 0x620c A wpad"
"671630","2013-02-27 03:36:45.119630","fe80::4933:ed:eba9:2b34","ff02::1:3","LLMNR","84","Standard query 0xa8c8 A wpad"
"671632","2013-02-27 03:36:45.119869","172.16.133.11","224.0.0.252","LLMNR","64","Standard query 0xa8c8 A wpad"
"671896","2013-02-27 03:36:45.219324","fe80::4933:ed:eba9:2b34","ff02::1:3","LLMNR","84","Standard query 0xa8c8 A wpad"
"671897","2013-02-27 03:36:45.219326","172.16.133.11","224.0.0.252","LLMNR","64","Standard query 0xa8c8 A wpad"
"672622","2013-02-27 03:36:45.498549","192.168.1.231","8.8.8.8","DNS","75","Standard query 0xfa68 A oberandsons.com"
"679424","2013-02-27 03:36:47.949869","192.168.1.232","8.8.8.8","DNS","72","Standard query 0x33e6 A celerity.com"
"687719","2013-02-27 03:36:51.390677","192.168.1.233","8.8.8.8","DNS","84","Standard query 0x2e91 A miscellaneousheathen.com"
"688563","2013-02-27 03:36:51.730966","192.168.1.234","8.8.8.8","DNS","78","Standard query 0x6d64 A rolflouisville.com"
"696535","2013-02-27 03:36:55.007907","192.168.1.235","8.8.8.8","DNS","78","Standard query 0x79ab A jacquelinemertz.ch"
"712243","2013-02-27 03:37:02.062035","192.168.1.236","8.8.8.8","DNS","70","Standard query 0xb857 A gaplex.biz"
"712420","2013-02-27 03:37:02.139048","192.168.1.237","8.8.8.8","DNS","81","Standard query 0xcaff A frasesdemotivacao.net"
"721368","2013-02-27 03:37:05.435837","192.168.1.238","8.8.8.8","DNS","77","Standard query 0x8a83 A divefishhouse.com"
"744162","2013-02-27 03:37:15.209129","192.168.1.239","8.8.8.8","DNS","68","Standard query 0xd0fd A stark.dk"
"751950","2013-02-27 03:37:17.508668","192.168.1.240","8.8.8.8","DNS","74","Standard query 0xdb62 A xxx-muschis.de"
"759514","2013-02-27 03:37:20.258854","192.168.1.241","8.8.8.8","DNS","75","Standard query 0xa1f6 A florenseusa.com"
"788605","2013-02-27 03:37:31.886719","fe80::860:9298:729d:46d7","ff02::1:3","LLMNR","84","Standard query 0x01f7 A wpad"
"788608","2013-02-27 03:37:31.886920","172.16.133.75","224.0.0.252","LLMNR","64","Standard query 0x01f7 A wpad"
"788858","2013-02-27 03:37:31.986694","fe80::860:9298:729d:46d7","ff02::1:3","LLMNR","84","Standard query 0x01f7 A wpad"
"788859","2013-02-27 03:37:31.986767","172.16.133.75","224.0.0.252","LLMNR","64","Standard query 0x01f7 A wpad"
